kol_id,channel,num_video,avg_play,max_play,min_play,std_play,followers_count,avg_comment,avg_share,avg_collect,avg_post_score,interaction_rate,vol_play,z_avg_post_score,z_vol_play,influence_potential_score
0bcfd7eb-d479-4207-bfe3-3b641571945b,tiktok,30,46643.73333333333,149088.0,2926.0,40505.58896466897,53700,23.1,65.4,145.8,55047.53333333333,0.06877587235919354,3.608440309990059,-0.1142251631575014,-1.4278439776170526,2.9429747971387576
0bd17c29-b800-4700-a595-b95359908310,instagram,30,163896.7,1500038.0,6487.0,391889.9646453511,39480,73.96666666666667,369.5,0.0,179753.5,0.06160223036303559,3.8111488804047835,0.36876087625829645,-1.1704949383737968,3.0946380326170484
0bd36c4e-6431-468f-9179-172aa9b35276,instagram,30,7381.033333333334,20015.0,3400.0,3776.787299967448,25027,9.533333333333333,2.6,0.0,7836.7,0.029291105235618183,4.3992416517983965,-0.2970726564946499,-0.4238806763600568,2.8376490557891665
0bd91128-512b-4265-88c1-b8eb5eecda7a,tiktok,30,2261.6666666666665,14558.0,361.0,2678.249355305701,12000,6.1,4.0,4.366666666666666,2765.2,0.0959760700114176,5.300850711258558,-0.3167145691021238,0.7207587671049029,2.8448871103707054
0bd9c588-6664-4227-a835-5430aec52e26,tiktok,30,2344.3333333333335,13092.0,469.0,2695.108472429435,96300,5.333333333333333,8.433333333333334,14.733333333333333,2715.733333333333,0.07282014892117114,4.683670482702808,-0.3169061534348951,-0.06278352976888522,3.3105330421488697
0bd9cdd2-2d96-4599-b0dc-adbc95cbeb0e,instagram,10,97324.5,684837.0,12615.0,206674.8733033226,51387,52.5,596.7,0.0,114403.9,0.05596633441803358,3.252557939219954,0.11566196427301087,-1.8796550974622634,2.930078388004005
0bde88bc-93f3-42fb-a4dd-8b8af1e295f8,instagram,30,2491.6,10205.0,651.0,2186.4799864244083,34727,9.8,10.733333333333333,0.0,2837.3333333333335,0.06333419184250264,4.369580357158373,-0.31643519680015814,-0.46153722764796756,2.9240423620284224
0be0f733-c7fa-4200-9e46-e79e7c100b38,tiktok,30,76993.03333333334,191960.0,16553.0,56970.469814289936,82300,56.06666666666667,152.43333333333334,268.6,93328.36666666667,0.09794564879945966,3.0789108914106684,0.0340364523161468,-2.1001090271097356,2.998828901562346
0be3cca9-201e-49f5-8112-f8890f41983f,instagram,30,19518.833333333332,209969.0,2018.0,41069.88242435782,14658,14.633333333333333,0.0,0.0,19577.366666666665,0.0007985178049081458,5.063345393866235,-0.2516010704510438,0.4192334535918679,2.861129042405456
0be6dffb-77e7-480b-b96d-f239fb1ece26,tiktok,30,14246.666666666666,170647.0,345.0,32767.585619531586,3185,102.83333333333333,59.7,41.1,16578.8,0.05962081436190487,5.1972703139437,-0.26321451507578025,0.5892580827535856,2.4384843390975934
