kol_id,influence_potential_score,rank
d8ef6af5-8159-42d5-81cb-9f6161325845,3.4256583246907115,222
0481cc26-6e98-49f3-a387-00a89a3c0cd9,3.423956477247861,223
4f8538fc-f13c-45f1-8d2b-5cb6868b18b4,3.423796437032055,224
9cd959ef-17df-4ded-b6f7-11dc30863bc0,3.4180576253766977,225
50c467cb-a601-4b84-9cb2-9960eedf7eb7,3.413481596016808,226
1cff3092-c657-43c2-ba54-188c57f8d41f,3.4134256594920984,227
35c6fbf5-c45e-4dac-a3ef-936e4e8586ac,3.4124860938974946,228
3c8a67dd-62c4-4d02-bab8-5cbd9cb1c206,3.411700400765406,229
30447fc3-f2e9-47ba-99a8-c17fddb032fd,3.4094351525511364,230
9fb5e69e-f360-460d-8f19-0b9b4c63c7e7,3.4052644140887196,231
1b17188d-ad66-4cc2-a1cd-469b72a7d495,3.403598119023566,232
6850d5ad-48b1-436d-a174-b1c678c7d997,3.403061926654507,233
7fa11446-76fa-472a-8bd2-4ffb13d99d0f,3.401960023300387,234
52ba96b0-3aa9-42d4-8d12-5c148b54dc57,3.4014934373444285,235
3dd405cc-ae3c-45ba-8559-41d22693cd13,3.3985596599325283,236
27b51ff7-f01e-4854-990d-9f429400e2f1,3.3929377038458015,237
26608f50-81da-4744-8ce2-2f7df92385ba,3.3890988527759505,238
7a4b2b8d-9ff1-4674-be1d-95cc847c1b25,3.387627244017765,239
75c8976f-0bde-470e-9138-e3d28c2e0410,3.3870971840473683,240
27a9e88b-4a0b-4fc2-8435-dde1efe2ef88,3.3869326301458753,241
8c5d2bef-064c-4d8c-b04e-e73dd0fcd047,3.3865995124742367,242
bfb2dcd2-eecf-4c45-9bd7-1d8cad761aec,3.386067470633561,243
109d95ea-3255-4a99-a4d3-1d53a061aba8,3.3859938136652694,244
2973497a-a50f-43f4-b34e-93c55f97ec45,3.3851029603349243,245
14545146-1410-428c-b0cf-d88ffeaa908d,3.3840017704574907,246
45eef410-ecc6-470d-bd01-e2936096c1f6,3.383864894746518,247
e19b6927-7e5f-4544-b173-9fb6b9406573,3.383479591072788,248
82454d58-bbed-48bf-a22c-70ef0fd33295,3.3812700855178126,249
da10dac1-f126-43aa-bde2-c9e326fbdb4e,3.3749027506394023,250
49d8f3b1-a779-4aae-890e-e65140ca6ebf,3.3742852012517686,251
2cb5abf9-faaa-45ca-80cc-6db7429c873d,3.37079730150996,252
f8412b33-f953-4e54-aa60-386c70660a3c,3.3694880417884745,253
99669773-c9a8-45c3-9e7f-dea47fa12553,3.3692257840259594,254
88378656-0dc7-4885-87b6-596b3e586c1f,3.365806713321965,255
43a93e54-d4e2-4b1f-9fb4-557621cf4eda,3.365753332436331,256
31c28b5c-a7df-47c3-a6d6-cc72edb72b44,3.3650674734063295,257
53c20ddc-c6be-4ca0-a4aa-b05e7fef2359,3.36387311211305,258
96b9e829-35d3-4cd6-b2eb-d544fe28287f,3.362338778705833,259
42363150-fa06-41e1-a34a-b4b02f5ea75f,3.3581783398797316,260
948e7b10-e556-4ca5-90fc-e2fdd644a37d,3.3580390170111305,261
4118b2da-605e-468b-ae32-edbb881921e6,3.357614334966457,262
6093654b-6096-471f-95e4-b66fccac0ccb,3.3574272400136476,263
fc6f8163-7fe9-41df-987d-3804c96d6687,3.3564854253164147,264
31be7e6d-251e-4f05-b57a-5248c747992f,3.3559337515632377,265
ed9ce505-3da0-4e7d-b8e2-8f40daac3a0a,3.355479687342631,266
5a80d2ee-6cb6-47a9-a297-05ddf430c6c0,3.3536712185369497,267
6ebd7dd8-4f40-43c4-99d4-299d996b9f29,3.351912380754803,268
3b9a980c-a2aa-47cc-97dc-2967a0ab4b18,3.3517996688721787,269
fcaf0d98-ec89-4da5-ab19-baa41dfe9045,3.3512206049418602,270
e1903f11-5e91-4fee-aeb1-d9df6461a733,3.3509390319509342,271
3e041127-6b7f-4c69-b83f-009ecfc9986a,3.3504033127423076,272
df462375-f36b-494b-a42e-7c5ec8a055a2,3.348391189785368,273
3f721739-b43d-48c7-8e0d-1c7b829cef9d,3.3475613038571157,274
3db7e4c7-8acf-4275-ac2b-5be9f25832db,3.344993414241344,275
af1fa0ac-b974-4e09-8112-f23abf851b66,3.342932913472223,276
fba027fc-5607-4b7b-9841-8c35072db9c4,3.341893390828134,277
6db67051-6d3d-472e-9e21-31800f97158b,3.337866242816158,278
256538cb-14b6-44d9-9361-70745bb50341,3.3378085424136246,279
b5d4bc6c-059f-46fe-93a9-253db20c3552,3.3376002313039574,280
a0e5a549-199e-4504-989f-eb60ff47b92a,3.3350146912415286,281
ef5b1bcc-d2f9-4b5c-b1f0-97f0965340f2,3.3347193513671236,282
d96bc37d-0134-40d1-b758-3d68b628e7dc,3.332987421590678,283
6f36e506-949e-4e31-ac41-b468ff3005d3,3.331136923846542,284
b3a01f8a-86d2-4f97-b097-55f00c55d1a7,3.3306794374295494,285
517ccd54-28b3-4779-918b-efd997ed56e8,3.3301904436815155,286
14636878-a66a-4229-bdda-fff766475deb,3.329857941261665,287
10fc0fb3-b4f2-49e8-893c-2017eced546b,3.3298118778985786,288
738fc87e-22d7-45d3-83f2-12a79e35cb7b,3.3268923741309604,289
afd92594-55dd-486f-843c-885bd370f1b9,3.325130274067111,290
41ea8ffe-82a7-4d69-85aa-1090f39628fe,3.3250358193312546,291
23a8235d-db60-447d-9f5c-ad38e9a03f5b,3.3241687477872373,292
fae7a728-92b7-46b9-a9bb-3de618f0dae8,3.3235864132790987,293
4805813a-daac-4ca9-a529-ef2bf4499c29,3.3187581224337657,294
7b9e1103-78ed-4188-b3e4-f766f967796f,3.3168879938723563,295
9dfbc3ce-2c93-468c-a9e0-a7b6974d1677,3.316506130679956,296
c000374c-7e8c-47f8-a2d1-dff40b102d7f,3.3145921738215436,297
a0538daf-3f13-422a-a224-458fe4065f79,3.314377503885245,298
be17418a-3c2e-445f-bcf2-bdd2956184d4,3.313747361300714,299
35217fd6-4aa3-4f14-85d9-9ba39cde687e,3.308238513431422,300
82f6bcb5-c15a-4a68-89b1-cc92c899bb1c,3.307435821454598,301
639911b8-1a40-403a-a224-bfe6d05445bf,3.3049458405103147,302
